"Original.code";"Original.title";"Action";"Text.change";"Current.code";"Current.title"
"21";1.0304;"Crop Production.";"No substantive changes";"No";1.0304;"Crop Production. "
"22";1.0306;"Dairy Husbandry and Production.";"No substantive changes";"No";1.0306;"Dairy Husbandry and Production. "
"23";1.0307;"Horse Husbandry/Equine Science and Management.";"No substantive changes";"No";1.0307;"Horse Husbandry/Equine Science and Management. "
"24";NA;"";"New";"No";1.0308;"Agroecology and Sustainable Agriculture. "
"25";NA;"";"New";"No";1.0309;"Viticulture and Enology. "
"26";1.0399;"Agricultural Production Operations, Other.";"No substantive changes";"No";1.0399;"Agricultural Production Operations, Other. "
"27";1.04;"Agricultural and Food Products Processing.";"No substantive changes";"No";1.04;"Agricultural and Food Products Processing. "
"28";1.0401;"Agricultural and Food Products Processing.";"No substantive changes";"No";1.0401;"Agricultural and Food Products Processing. "
"29";1.05;"Agricultural and Domestic Animal Services.";"No substantive changes";"No";1.05;"Agricultural and Domestic Animal Services. "
"30";1.0504;"Dog/Pet/Animal Grooming.";"No substantive changes";"No";1.0504;"Dog/Pet/Animal Grooming. "
"31";1.0505;"Animal Training.";"No substantive changes";"No";1.0505;"Animal Training. "
"32";1.0507;"Equestrian/Equine Studies.";"No substantive changes";"No";1.0507;"Equestrian/Equine Studies. "
"33";1.0508;"Taxidermy/Taxidermist.";"No substantive changes";"No";1.0508;"Taxidermy/Taxidermist. "
"34";1.0599;"Agricultural and Domestic Animal Services, Other.";"No substantive changes";"No";1.0599;"Agricultural and Domestic Animal Services, Other. "
"35";1.06;"Applied Horticulture and Horticultural Business Services.";"No substantive changes";"No";1.06;"Applied Horticulture and Horticultural Business Services. "
"36";1.0601;"Applied Horticulture/Horticulture Operations, General.";"No substantive changes";"No";1.0601;"Applied Horticulture/Horticulture Operations, General. "
"37";1.0603;"Ornamental Horticulture.";"No substantive changes";"No";1.0603;"Ornamental Horticulture. "
"38";1.0604;"Greenhouse Operations and Management.";"No substantive changes";"No";1.0604;"Greenhouse Operations and Management. "
"39";1.0605;"Landscaping and Groundskeeping.";"No substantive changes";"No";1.0605;"Landscaping and Groundskeeping. "
"40";1.0606;"Plant Nursery Operations and Management.";"No substantive changes";"No";1.0606;"Plant Nursery Operations and Management. "
"41";1.0607;"Turf and Turfgrass Management.";"No substantive changes";"No";1.0607;"Turf and Turfgrass Management. "
"42";1.0608;"Floriculture/Floristry Operations and Management.";"No substantive changes";"No";1.0608;"Floriculture/Floristry Operations and Management. "
"43";1.0699;"Applied Horticulture/Horticultural Business Services, Other.";"No substantive changes";"No";1.0699;"Applied Horticulture/Horticultural Business Services, Other. "
"44";1.07;"International Agriculture.";"No substantive changes";"No";1.07;"International Agriculture. "
"45";1.0701;"International Agriculture.";"No substantive changes";"No";1.0701;"International Agriculture. "
"46";1.08;"Agricultural Public Services.";"No substantive changes";"No";1.08;"Agricultural Public Services. "
"47";1.0801;"Agricultural and Extension Education Services.";"No substantive changes";"No";1.0801;"Agricultural and Extension Education Services. "
"48";1.0802;"Agricultural Communication/Journalism.";"No substantive changes";"No";1.0802;"Agricultural Communication/Journalism. "
"49";1.0899;"Agricultural Public Services, Other.";"No substantive changes";"No";1.0899;"Agricultural Public Services, Other. "
"50";1.09;"Animal Sciences.";"No substantive changes";"No";1.09;"Animal Sciences. "
"51";1.0901;"Animal Sciences, General.";"No substantive changes";"No";1.0901;"Animal Sciences, General. "
"52";1.0902;"Agricultural Animal Breeding.";"No substantive changes";"No";1.0902;"Agricultural Animal Breeding. "
"53";1.0903;"Animal Health.";"No substantive changes";"No";1.0903;"Animal Health. "
"54";1.0904;"Animal Nutrition.";"No substantive changes";"No";1.0904;"Animal Nutrition. "
"55";1.0905;"Dairy Science.";"No substantive changes";"No";1.0905;"Dairy Science. "
"56";1.0906;"Livestock Management.";"No substantive changes";"No";1.0906;"Livestock Management. "
"57";1.0907;"Poultry Science.";"No substantive changes";"No";1.0907;"Poultry Science. "
"58";1.0999;"Animal Sciences, Other.";"No substantive changes";"No";1.0999;"Animal Sciences, Other. "
"59";1.1;"Food Science and Technology.";"No substantive changes";"No";1.1;"Food Science and Technology. "
"60";1.1001;"Food Science.";"No substantive changes";"No";1.1001;"Food Science. "
"61";1.1002;"Food Technology and Processing.";"No substantive changes";"No";1.1002;"Food Technology and Processing. "
"62";1.1099;"Food Science and Technology, Other.";"No substantive changes";"No";1.1099;"Food Science and Technology, Other. "
"63";1.11;"Plant Sciences.";"No substantive changes";"No";1.11;"Plant Sciences. "
"64";1.1101;"Plant Sciences, General.";"No substantive changes";"No";1.1101;"Plant Sciences, General. "
"65";1.1102;"Agronomy and Crop Science.";"No substantive changes";"No";1.1102;"Agronomy and Crop Science. "
"66";1.1103;"Horticultural Science.";"No substantive changes";"No";1.1103;"Horticultural Science. "
"67";1.1104;"Agricultural and Horticultural Plant Breeding.";"No substantive changes";"No";1.1104;"Agricultural and Horticultural Plant Breeding. "
"68";1.1105;"Plant Protection and Integrated Pest Management.";"No substantive changes";"Yes";1.1105;"Plant Protection and Integrated Pest Management. "
"69";1.1106;"Range Science and Management.";"No substantive changes";"No";1.1106;"Range Science and Management. "
"70";1.1199;"Plant Sciences, Other.";"No substantive changes";"No";1.1199;"Plant Sciences, Other. "
"71";1.12;"Soil Sciences.";"No substantive changes";"No";1.12;"Soil Sciences. "
"72";1.1201;"Soil Science and Agronomy, General.";"No substantive changes";"No";1.1201;"Soil Science and Agronomy, General. "
"73";1.1202;"Soil Chemistry and Physics.";"No substantive changes";"No";1.1202;"Soil Chemistry and Physics. "
"74";1.1203;"Soil Microbiology.";"No substantive changes";"No";1.1203;"Soil Microbiology. "
"75";1.1299;"Soil Sciences, Other.";"No substantive changes";"No";1.1299;"Soil Sciences, Other. "
"76";1.99;"Agriculture, Agriculture Operations, and Related Sciences, Other.";"No substantive changes";"No";1.99;"Agriculture, Agriculture Operations, and Related Sciences, Other. "
"77";1.9999;"Agriculture, Agriculture Operations, and Related Sciences, Other.";"No substantive changes";"No";1.9999;"Agriculture, Agriculture Operations, and Related Sciences, Other. "
"78";3;"NATURAL RESOURCES AND CONSERVATION.";"No substantive changes";"No";3;"NATURAL RESOURCES AND CONSERVATION. "
"79";3.01;"Natural Resources Conservation and Research.";"No substantive changes";"No";3.01;"Natural Resources Conservation and Research. "
"80";3.0101;"Natural Resources/Conservation, General.";"No substantive changes";"No";3.0101;"Natural Resources/Conservation, General. "
"81";3.0103;"Environmental Studies.";"No substantive changes";"No";3.0103;"Environmental Studies. "
"82";3.0104;"Environmental Science.";"No substantive changes";"No";3.0104;"Environmental Science. "
"83";3.0199;"Natural Resources Conservation and Research, Other.";"No substantive changes";"No";3.0199;"Natural Resources Conservation and Research, Other. "
"84";3.02;"Natural Resources Management and Policy.";"No substantive changes";"No";3.02;"Natural Resources Management and Policy. "
"85";3.0201;"Natural Resources Management and Policy.";"No substantive changes";"No";3.0201;"Natural Resources Management and Policy. "
"86";3.0204;"Natural Resource Economics.";"No substantive changes";"No";3.0204;"Natural Resource Economics. "
"87";3.0205;"Water, Wetlands, and Marine Resources Management.";"No substantive changes";"No";3.0205;"Water, Wetlands, and Marine Resources Management. "
"88";3.0206;"Land Use Planning and Management/Development.";"No substantive changes";"No";3.0206;"Land Use Planning and Management/Development. "
"89";NA;"";"New";"No";3.0207;"Natural Resource Recreation and Tourism. "
"90";NA;"";"New";"No";3.0208;"Natural Resources Law Enforcement and Protective Services. "
"91";3.0299;"Natural Resources Management and Policy, Other.";"No substantive changes";"No";3.0299;"Natural Resources Management and Policy, Other. "
"92";3.03;"Fishing and Fisheries Sciences and Management.";"No substantive changes";"No";3.03;"Fishing and Fisheries Sciences and Management. "
"93";3.0301;"Fishing and Fisheries Sciences and Management.";"No substantive changes";"No";3.0301;"Fishing and Fisheries Sciences and Management. "
"94";3.05;"Forestry.";"No substantive changes";"No";3.05;"Forestry. "
"95";3.0501;"Forestry, General.";"No substantive changes";"No";3.0501;"Forestry, General. "
"96";3.0502;"Forest Sciences and Biology.";"No substantive changes";"No";3.0502;"Forest Sciences and Biology. "
"97";3.0506;"Forest Management/Forest Resources Management.";"No substantive changes";"No";3.0506;"Forest Management/Forest Resources Management. "
"98";3.0508;"Urban Forestry.";"No substantive changes";"No";3.0508;"Urban Forestry. "
"99";3.0509;"Wood Science and Wood Products/Pulp and Paper Technology.";"No substantive changes";"No";3.0509;"Wood Science and Wood Products/Pulp and Paper Technology. "
"100";3.051;"Forest Resources Production and Management.";"No substantive changes";"No";3.051;"Forest Resources Production and Management. "
"101";3.0511;"Forest Technology/Technician.";"No substantive changes";"No";3.0511;"Forest Technology/Technician. "
"102";3.0599;"Forestry, Other.";"No substantive changes";"No";3.0599;"Forestry, Other. "
"103";3.06;"Wildlife and Wildlands Science and Management.";"No substantive changes";"No";3.06;"Wildlife and Wildlands Science and Management. "
"104";3.0601;"Wildlife and Wildlands Science and Management.";"No substantive changes";"Yes";3.0601;"Wildlife, Fish and Wildlands Science and Management. "
"105";3.99;"Natural Resources and Conservation, Other.";"No substantive changes";"No";3.99;"Natural Resources and Conservation, Other. "
"106";3.9999;"Natural Resources and Conservation, Other.";"No substantive changes";"No";3.9999;"Natural Resources and Conservation, Other. "
"107";4;"ARCHITECTURE AND RELATED SERVICES.";"No substantive changes";"No";4;"ARCHITECTURE AND RELATED SERVICES. "
"108";4.02;"Architecture.";"No substantive changes";"No";4.02;"Architecture. "
"109";4.0201;"Architecture (BArch, BA/BS, MArch, MA/MS, PhD).";"No substantive changes";"No";4.0201;"Architecture. "
"110";4.03;"City/Urban, Community and Regional Planning.";"No substantive changes";"No";4.03;"City/Urban, Community and Regional Planning. "
"111";4.0301;"City/Urban, Community and Regional Planning.";"No substantive changes";"No";4.0301;"City/Urban, Community and Regional Planning. "
"112";4.04;"Environmental Design.";"No substantive changes";"No";4.04;"Environmental Design. "
"113";4.0401;"Environmental Design/Architecture.";"No substantive changes";"No";4.0401;"Environmental Design/Architecture. "
"114";4.05;"Interior Architecture.";"No substantive changes";"No";4.05;"Interior Architecture. "
"115";4.0501;"Interior Architecture.";"No substantive changes";"No";4.0501;"Interior Architecture. "
"116";4.06;"Landscape Architecture.";"No substantive changes";"No";4.06;"Landscape Architecture. "
"117";4.0601;"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD).";"No substantive changes";"No";4.0601;"Landscape Architecture. "
"118";4.08;"Architectural History and Criticism.";"No substantive changes";"No";4.08;"Architectural History and Criticism. "
"119";4.0801;"Architectural History and Criticism, General.";"No substantive changes";"No";4.0801;"Architectural History and Criticism, General. "
"120";4.09;"Architectural Technology/Technician.";"No substantive changes";"Yes";4.09;"Architectural Sciences and Technology. "
"121";4.0901;"Architectural Technology/Technician.";"No substantive changes";"No";4.0901;"Architectural Technology/Technician. "
"122";NA;"";"New";"No";4.0902;"Architectural and Building Sciences/Technology. "
"123";NA;"";"New";"No";4.0999;"Architectural Sciences and Technology, Other. "
"124";NA;"";"New";"No";4.1;"Real Estate Development. "
"125";NA;"";"New";"No";4.1001;"Real Estate Development. "
"126";4.99;"Architecture and Related Services, Other.";"No substantive changes";"No";4.99;"Architecture and Related Services, Other. "
"127";4.9999;"Architecture and Related Services, Other.";"No substantive changes";"No";4.9999;"Architecture and Related Services, Other. "
"128";5;"AREA, ETHNIC, CULTURAL, AND GENDER STUDIES.";"No substantive changes";"Yes";5;"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES. "
"129";5.01;"Area Studies.";"No substantive changes";"No";5.01;"Area Studies. "
"130";5.0101;"African Studies.";"No substantive changes";"No";5.0101;"African Studies. "
"131";5.0102;"American/United States Studies/Civilization.";"No substantive changes";"No";5.0102;"American/United States Studies/Civilization. "
"132";5.0103;"Asian Studies/Civilization.";"No substantive changes";"No";5.0103;"Asian Studies/Civilization. "
"133";5.0104;"East Asian Studies.";"No substantive changes";"No";5.0104;"East Asian Studies. "
"134";5.0105;"Central/Middle and Eastern European Studies.";"No substantive changes";"Yes";5.0105;"Russian, Central European, East European and Eurasian Studies. "
"135";5.0106;"European Studies/Civilization.";"No substantive changes";"No";5.0106;"European Studies/Civilization. "
"136";5.0107;"Latin American Studies.";"No substantive changes";"No";5.0107;"Latin American Studies. "
"137";5.0108;"Near and Middle Eastern Studies.";"No substantive changes";"No";5.0108;"Near and Middle Eastern Studies. "
"138";5.0109;"Pacific Area/Pacific Rim Studies.";"No substantive changes";"No";5.0109;"Pacific Area/Pacific Rim Studies. "
"139";5.011;"Russian Studies.";"No substantive changes";"No";5.011;"Russian Studies. "
"140";5.0111;"Scandinavian Studies.";"No substantive changes";"No";5.0111;"Scandinavian Studies. "
"141";5.0112;"South Asian Studies.";"No substantive changes";"No";5.0112;"South Asian Studies. "
"142";5.0113;"Southeast Asian Studies.";"No substantive changes";"No";5.0113;"Southeast Asian Studies. "
"143";5.0114;"Western European Studies.";"No substantive changes";"No";5.0114;"Western European Studies. "
"144";5.0115;"Canadian Studies.";"No substantive changes";"No";5.0115;"Canadian Studies. "
"145";5.0116;"Balkans Studies.";"No substantive changes";"No";5.0116;"Balkans Studies. "
"146";5.0117;"Baltic Studies.";"No substantive changes";"No";5.0117;"Baltic Studies. "
"147";5.0118;"Slavic Studies.";"No substantive changes";"No";5.0118;"Slavic Studies. "
"148";5.0119;"Caribbean Studies.";"No substantive changes";"No";5.0119;"Caribbean Studies. "
"149";5.012;"Ural-Altaic and Central Asian Studies.";"No substantive changes";"No";5.012;"Ural-Altaic and Central Asian Studies. "
"150";5.0121;"Commonwealth Studies.";"No substantive changes";"No";5.0121;"Commonwealth Studies. "
"151";5.0122;"Regional Studies (U.S., Canadian, Foreign)";"No substantive changes";"No";5.0122;"Regional Studies (U.S., Canadian, Foreign) "
"152";5.0123;"Chinese Studies.";"No substantive changes";"No";5.0123;"Chinese Studies. "
"153";5.0124;"French Studies.";"No substantive changes";"No";5.0124;"French Studies. "
"154";5.0125;"German Studies.";"No substantive changes";"No";5.0125;"German Studies. "
"155";5.0126;"Italian Studies.";"No substantive changes";"No";5.0126;"Italian Studies. "
"156";5.0127;"Japanese Studies.";"No substantive changes";"No";5.0127;"Japanese Studies. "
"157";5.0128;"Korean Studies.";"No substantive changes";"No";5.0128;"Korean Studies. "
"158";5.0129;"Polish Studies.";"No substantive changes";"No";5.0129;"Polish Studies. "
"159";5.013;"Spanish and Iberian Studies.";"No substantive changes";"No";5.013;"Spanish and Iberian Studies. "
"160";5.0131;"Tibetan Studies.";"No substantive changes";"No";5.0131;"Tibetan Studies. "
"161";5.0132;"Ukraine Studies.";"No substantive changes";"No";5.0132;"Ukraine Studies. "
"162";NA;"";"New";"No";5.0133;"Irish Studies. "
"163";NA;"";"New";"No";5.0134;"Latin American and Caribbean Studies. "
"164";5.0199;"Area Studies, Other.";"No substantive changes";"No";5.0199;"Area Studies, Other. "
"165";5.02;"Ethnic, Cultural Minority, and Gender Studies.";"No substantive changes";"Yes";5.02;"Ethnic, Cultural Minority, Gender, and Group Studies. "
"166";NA;"";"New";"No";5.02;"Ethnic Studies. "
"167";5.0201;"African-American/Black Studies.";"No substantive changes";"No";5.0201;"African-American/Black Studies. "
"168";5.0202;"American Indian/Native American Studies.";"No substantive changes";"No";5.0202;"American Indian/Native American Studies. "
"169";5.0203;"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.";"No substantive changes";"No";5.0203;"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies. "
"170";5.0206;"Asian-American Studies.";"No substantive changes";"No";5.0206;"Asian-American Studies. "
"171";5.0207;"Women's Studies.";"No substantive changes";"No";5.0207;"Women's Studies. "
"172";5.0208;"Gay/Lesbian Studies.";"No substantive changes";"No";5.0208;"Gay/Lesbian Studies. "
"173";NA;"";"New";"No";5.0209;"Folklore Studies. "
"174";NA;"";"New";"No";5.021;"Disability Studies. "
"175";NA;"";"New";"No";5.0211;"Deaf Studies. "
"176";5.0299;"Ethnic, Cultural Minority, and Gender Studies, Other.";"No substantive changes";"Yes";5.0299;"Ethnic, Cultural Minority, Gender, and Group Studies, Other. "
"177";5.99;"Area, Ethnic, Cultural, and Gender Studies, Other.";"Deleted";"No";5.99;"Deleted, report under 05.01, 05.02 "
"178";5.9999;"Area, Ethnic, Cultural, and Gender Studies, Other.";"Deleted";"No";5.9999;"Deleted, report under 05.01, 05.02 "
"179";9;"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.";"No substantive changes";"No";9;"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS. "
"180";9.01;"Communication and Media Studies.";"No substantive changes";"No";9.01;"Communication and Media Studies. "
"181";NA;"";"New";"No";9.01;"Communication, General. "
"182";9.0101;"Communication Studies/Speech Communication and Rhetoric.";"No substantive changes";"Yes";9.0101;"Speech Communication and Rhetoric. "
"183";9.0102;"Mass Communication/Media Studies.";"No substantive changes";"No";9.0102;"Mass Communication/Media Studies. "
"184";9.0199;"Communication and Media Studies, Other.";"No substantive changes";"No";9.0199;"Communication and Media Studies, Other. "
"185";9.04;"Journalism.";"No substantive changes";"No";9.04;"Journalism. "
"186";9.0401;"Journalism.";"No substantive changes";"No";9.0401;"Journalism. "
"187";9.0402;"Broadcast Journalism.";"No substantive changes";"No";9.0402;"Broadcast Journalism. "
"188";9.0404;"Photojournalism.";"No substantive changes";"No";9.0404;"Photojournalism. "
"189";9.0499;"Journalism, Other.";"No substantive changes";"No";9.0499;"Journalism, Other. "
"190";9.07;"Radio, Television, and Digital Communication.";"No substantive changes";"No";9.07;"Radio, Television, and Digital Communication. "
"191";9.0701;"Radio and Television.";"No substantive changes";"No";9.0701;"Radio and Television. "
"192";9.0702;"Digital Communication and Media/Multimedia.";"No substantive changes";"Yes";9.0702;"Digital Communication and Media/Multimedia. "
"193";9.0799;"Radio, Television, and Digital Communication, Other.";"No substantive changes";"No";9.0799;"Radio, Television, and Digital Communication, Other. "
"194";9.09;"Public Relations, Advertising, and Applied Communication.";"No substantive changes";"No";9.09;"Public Relations, Advertising, and Applied Communication. "
"195";NA;"";"New";"No";9.09;"Public Relations, Advertising, and Applied Communication. "
"196";9.0901;"Organizational Communication, General.";"No substantive changes";"No";9.0901;"Organizational Communication, General. "
"197";9.0902;"Public Relations/Image Management.";"No substantive changes";"No";9.0902;"Public Relations/Image Management. "
"198";9.0903;"Advertising.";"No substantive changes";"No";9.0903;"Advertising. "
"199";9.0904;"Political Communication.";"No substantive changes";"No";9.0904;"Political Communication. "
"200";9.0905;"Health Communication.";"No substantive changes";"No";9.0905;"Health Communication. "
"201";NA;"";"New";"No";9.0906;"Sports Communication. "
"202";NA;"";"New";"No";9.0907;"International and Intercultural Communication. "
"203";NA;"";"New";"No";9.0908;"Technical and Scientific Communication. "
"204";9.0999;"Public Relations, Advertising, and Applied Communication, Other";"No substantive changes";"No";9.0999;"Public Relations, Advertising, and Applied Communication, Other "
"205";9.1;"Publishing.";"No substantive changes";"No";9.1;"Publishing. "
"206";9.1001;"Publishing.";"No substantive changes";"No";9.1001;"Publishing. "
"207";9.99;"Communication, Journalism, and Related Programs, Other.";"No substantive changes";"No";9.99;"Communication, Journalism, and Related Programs, Other. "
"208";9.9999;"Communication, Journalism, and Related Programs, Other.";"No substantive changes";"No";9.9999;"Communication, Journalism, and Related Programs, Other. "
"209";10;"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.";"No substantive changes";"No";10;"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES. "
"210";10.01;"Communications Technology/Technician.";"No substantive changes";"No";10.01;"Communications Technology/Technician. "
"211";10.0105;"Communications Technology/Technician.";"No substantive changes";"No";10.0105;"Communications Technology/Technician. "
"212";10.02;"Audiovisual Communications Technologies/Technicians.";"No substantive changes";"No";10.02;"Audiovisual Communications Technologies/Technicians. "
"213";10.0201;"Photographic and Film/Video Technology/Technician and Assistant.";"No substantive changes";"No";10.0201;"Photographic and Film/Video Technology/Technician and Assistant. "
"214";10.0202;"Radio and Television Broadcasting Technology/Technician.";"No substantive changes";"No";10.0202;"Radio and Television Broadcasting Technology/Technician. "
"215";10.0203;"Recording Arts Technology/Technician.";"No substantive changes";"No";10.0203;"Recording Arts Technology/Technician. "
"216";10.0299;"Audiovisual Communications Technologies/Technicians, Other.";"No substantive changes";"No";10.0299;"Audiovisual Communications Technologies/Technicians, Other. "
"217";10.03;"Graphic Communications.";"No substantive changes";"No";10.03;"Graphic Communications. "
"218";10.0301;"Graphic Communications, General.";"No substantive changes";"No";10.0301;"Graphic Communications, General. "
"219";10.0302;"Printing Management.";"No substantive changes";"No";10.0302;"Printing Management. "
"220";10.0303;"Prepress/Desktop Publishing and Digital Imaging Design.";"No substantive changes";"No";10.0303;"Prepress/Desktop Publishing and Digital Imaging Design. "
"221";10.0304;"Animation, Interactive Technology, Video Graphics and Special Effects.";"No substantive changes";"No";10.0304;"Animation, Interactive Technology, Video Graphics and Special Effects. "
"222";10.0305;"Graphic and Printing Equipment Operator, General Production.";"No substantive changes";"No";10.0305;"Graphic and Printing Equipment Operator, General Production. "
"223";10.0306;"Platemaker/Imager.";"No substantive changes";"No";10.0306;"Platemaker/Imager. "
"224";10.0307;"Printing Press Operator.";"No substantive changes";"No";10.0307;"Printing Press Operator. "
"225";10.0308;"Computer Typography and Composition Equipment Operator.";"No substantive changes";"No";10.0308;"Computer Typography and Composition Equipment Operator. "
"226";10.0399;"Graphic Communications, Other.";"No substantive changes";"No";10.0399;"Graphic Communications, Other. "
"227";10.99;"Communications Technologies/Technicians and Support Services, Other.";"No substantive changes";"No";10.99;"Communications Technologies/Technicians and Support Services, Other. "
"228";10.9999;"Communications Technologies/Technicians and Support Services, Other.";"No substantive changes";"No";10.9999;"Communications Technologies/Technicians and Support Services, Other. "
"229";11;"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.";"No substantive changes";"No";11;"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES. "
"230";11.01;"Computer and Information Sciences, General .";"No substantive changes";"No";11.01;"Computer and Information Sciences, General. "
"231";11.0101;"Computer and Information Sciences, General.";"No substantive changes";"Yes";11.0101;"Computer and Information Sciences, General. "
"232";11.0102;"Artificial Intelligence and Robotics.";"No substantive changes";"Yes";11.0102;"Artificial Intelligence. "
"233";11.0103;"Information Technology.";"No substantive changes";"No";11.0103;"Information Technology. "
"234";NA;"";"New";"No";11.0104;"Informatics. "
"235";11.0199;"Computer and Information Sciences,  Other.";"No substantive changes";"No";11.0199;"Computer and Information Sciences,  Other. "
"236";11.02;"Computer Programming.";"No substantive changes";"No";11.02;"Computer Programming. "
"237";11.0201;"Computer Programming/Programmer, General.";"No substantive changes";"No";11.0201;"Computer Programming/Programmer, General. "
"238";11.0202;"Computer Programming, Specific Applications.";"No substantive changes";"No";11.0202;"Computer Programming, Specific Applications. "
"239";11.0203;"Computer Programming, Vendor/Product Certification.";"No substantive changes";"No";11.0203;"Computer Programming, Vendor/Product Certification. "
"240";11.0299;"Computer Programming, Other.";"No substantive changes";"No";11.0299;"Computer Programming, Other. "
"241";11.03;"Data Processing.";"No substantive changes";"No";11.03;"Data Processing. "
"242";11.0301;"Data Processing and Data Processing Technology/Technician.";"No substantive changes";"No";11.0301;"Data Processing and Data Processing Technology/Technician. "
"243";11.04;"Information Science/Studies.";"No substantive changes";"No";11.04;"Information Science/Studies. "
"244";11.0401;"Information Science/Studies.";"No substantive changes";"No";11.0401;"Information Science/Studies. "
"245";11.05;"Computer Systems Analysis.";"No substantive changes";"No";11.05;"Computer Systems Analysis. "
"246";11.0501;"Computer Systems Analysis/Analyst.";"No substantive changes";"No";11.0501;"Computer Systems Analysis/Analyst. "
"247";11.06;"Data Entry/Microcomputer Applications.";"No substantive changes";"No";11.06;"Data Entry/Microcomputer Applications. "
"248";11.0601;"Data Entry/Microcomputer Applications, General.";"No substantive changes";"No";11.0601;"Data Entry/Microcomputer Applications, General. "
"249";11.0602;"Word Processing.";"No substantive changes";"No";11.0602;"Word Processing. "
"250";11.0699;"Data Entry/Microcomputer Applications, Other.";"No substantive changes";"No";11.0699;"Data Entry/Microcomputer Applications, Other. "
"251";11.07;"Computer Science.";"No substantive changes";"No";11.07;"Computer Science. "
"252";11.0701;"Computer Science.";"No substantive changes";"Yes";11.0701;"Computer Science. "
"253";11.08;"Computer Software and Media Applications.";"No substantive changes";"No";11.08;"Computer Software and Media Applications. "
"254";11.0801;"Web Page, Digital/Multimedia and Information Resources Design.";"No substantive changes";"No";11.0801;"Web Page, Digital/Multimedia and Information Resources Design. "
"255";11.0802;"Data Modeling/Warehousing and Database Administration.";"No substantive changes";"No";11.0802;"Data Modeling/Warehousing and Database Administration. "
"256";11.0803;"Computer Graphics.";"No substantive changes";"No";11.0803;"Computer Graphics. "
"257";NA;"";"New";"No";11.0804;"Modeling, Virtual Environments and Simulation. "
"258";11.0899;"Computer Software and Media Applications, Other.";"No substantive changes";"No";11.0899;"Computer Software and Media Applications, Other. "
"259";11.09;"Computer Systems Networking and Telecommunications.";"No substantive changes";"No";11.09;"Computer Systems Networking and Telecommunications. "
"260";11.0901;"Computer Systems Networking and Telecommunications.";"No substantive changes";"No";11.0901;"Computer Systems Networking and Telecommunications. "
"261";11.1;"Computer/Information Technology Administration and Management.";"No substantive changes";"No";11.1;"Computer/Information Technology Administration and Management. "
"262";11.1001;"System Administration/Administrator.";"No substantive changes";"Yes";11.1001;"Network and System Administration/Administrator. "
