"CIPFamily";"CIPCode";"Action";"TextChange";"CIPTitle";"CIPDefinition";"CrossReferences";"Examples"
"11";1;1.0199;"No substantive changes";"no";"Agricultural Business and Management, Other.";"Any instructional program in agricultural business and management not listed above.";"";"Examples: - Agricultural Systems Management "
"12";1;1.02;"No substantive changes";"no";"Agricultural Mechanization.";"Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.";"";"Examples: - Agricultural Systems Management "
"13";1;1.0201;"No substantive changes";"no";"Agricultural Mechanization, General.";"A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems.";"";"Examples: - Agricultural Systems Management "
"14";1;1.0204;"No substantive changes";"no";"Agricultural Power Machinery Operation.";"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.";"49.0202 - Construction/Heavy Equipment/Earthmoving Equipment Operation.";"Examples: - Agricultural Systems Management "
"15";1;1.0205;"No substantive changes";"no";"Agricultural Mechanics and Equipment/Machine Technology.";"A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems.";"";"Examples: - Agricultural Equipment Mechanic, - Agricultural Equipment Technician, - Agricultural Machinery Technician, - Farm Equipment Service Technician "
"16";1;1.0299;"No substantive changes";"no";"Agricultural Mechanization, Other.";"Any instructional program in agricultural mechanization not listed above.";"";"Examples: - Agricultural Irrigation "
"17";1;1.03;"No substantive changes";"no";"Agricultural Production Operations.";"Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.";"";"Examples: - Agricultural Irrigation "
"18";1;1.0301;"No substantive changes";"no";"Agricultural Production Operations, General.";"A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.";"";"Examples: - Agricultural Irrigation "
"19";1;1.0302;"No substantive changes";"no";"Animal/Livestock Husbandry and Production.";"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply.";"";"Examples: - Agricultural Irrigation "
"20";1;1.0303;"No substantive changes";"no";"Aquaculture.";"A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply.";"";"Examples: - Agricultural Irrigation "
"21";1;1.0304;"No substantive changes";"no";"Crop Production.";"A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply.";"";"Examples: - Agricultural Irrigation "
"22";1;1.0306;"No substantive changes";"no";"Dairy Husbandry and Production.";"A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations.";"";"Examples: - Agricultural Irrigation "
"23";1;1.0307;"No substantive changes";"no";"Horse Husbandry/Equine Science and Management.";"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.";"";"Examples: - Agricultural Irrigation "
"24";1;1.0308;"New";"no";"Agroecology and Sustainable Agriculture.";"A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management.";"30.3301 - Sustainability Studies.";"Examples: - Agroecology, - Sustainable Agriculture, - Organic Farming "
"25";1;1.0309;"New";"no";"Viticulture and Enology.";"A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management.";"";"Examples: - Viticulture, - Enology "
"26";1;1.0399;"No substantive changes";"no";"Agricultural Production Operations, Other.";"Any instructional program in agricultural production operations not listed above.";"";"Examples: - Viticulture, - Enology "
"27";1;1.04;"No substantive changes";"no";"Agricultural and Food Products Processing.";"Instructional content is defined in code 01.0401.";"";"Examples: - Viticulture, - Enology "
"28";1;1.0401;"No substantive changes";"no";"Agricultural and Food Products Processing.";"A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.";"";"Examples: - Viticulture, - Enology "
"29";1;1.05;"No substantive changes";"no";"Agricultural and Domestic Animal Services.";"Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.";"";"Examples: - Viticulture, - Enology "
"30";1;1.0504;"No substantive changes";"no";"Dog/Pet/Animal Grooming.";"A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.";"";"Examples: - Viticulture, - Enology "
"31";1;1.0505;"No substantive changes";"no";"Animal Training.";"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, care-giving (e.g., seeing-eye dogs), search and rescue, and police/security work.";"";"Examples: - Viticulture, - Enology "
"32";1;1.0507;"No substantive changes";"no";"Equestrian/Equine Studies.";"A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair.";"";"Examples: - Viticulture, - Enology "
"33";1;1.0508;"No substantive changes";"no";"Taxidermy/Taxidermist.";"A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations.";"";"Examples: - Viticulture, - Enology "
"34";1;1.0599;"No substantive changes";"no";"Agricultural and Domestic Animal Services, Other.";"Any instructional program in agricultural and domestic animal services not listed above.";"";"Examples: - Viticulture, - Enology "
"35";1;1.06;"No substantive changes";"no";"Applied Horticulture and Horticultural Business Services.";"Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.";"";"Examples: - Viticulture, - Enology "
"36";1;1.0601;"No substantive changes";"no";"Applied Horticulture/Horticulture Operations, General.";"A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care.";"";"Examples: - Viticulture, - Enology "
"37";1;1.0603;"No substantive changes";"no";"Ornamental Horticulture.";"A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations.";"";"Examples: - Viticulture, - Enology "
"38";1;1.0604;"No substantive changes";"no";"Greenhouse Operations and Management.";"A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision.";"";"Examples: - Viticulture, - Enology "
"39";1;1.0605;"No substantive changes";"no";"Landscaping and Groundskeeping.";"A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing.";"04.0601 - Landscape Architecture.";"Examples: - Greenspace "
"40";1;1.0606;"No substantive changes";"no";"Plant Nursery Operations and Management.";"A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision.";"";"Examples: - Greenspace "
"41";1;1.0607;"No substantive changes";"no";"Turf and Turfgrass Management.";"A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics.";"";"Examples: - Golf and Sports Turf Management "
"42";1;1.0608;"No substantive changes";"no";"Floriculture/Floristry Operations and Management.";"A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management.";"";"Examples: - Golf and Sports Turf Management "
"43";1;1.0699;"No substantive changes";"no";"Applied Horticulture/Horticultural Business Services, Other.";"Any instructional program in horticultural service operations not listed above.";"";"Examples: - Arborist, - Arboriculture "
"44";1;1.07;"No substantive changes";"no";"International Agriculture.";"Instructional content is defined in code 01.0701.";"";"Examples: - Arborist, - Arboriculture "
"45";1;1.0701;"No substantive changes";"no";"International Agriculture.";"A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences.";"45.0604 - Development Economics and International Development.";"Examples: - Arborist, - Arboriculture "
"46";1;1.08;"No substantive changes";"no";"Agricultural Public Services.";"Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.";"";"Examples: - Arborist, - Arboriculture "
"47";1;1.0801;"No substantive changes";"no";"Agricultural and Extension Education Services.";"A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills.";"13.1301 - Agricultural Teacher Education., 45.1401 - Rural Sociology.";"Examples: - Arborist, - Arboriculture "
"48";1;1.0802;"No substantive changes";"no";"Agricultural Communication/Journalism.";"A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways.";"";"Examples: - Arborist, - Arboriculture "
"49";1;1.0899;"No substantive changes";"no";"Agricultural Public Services, Other.";"Any instructional program in general agricultural sciences and related services not listed above.";"";"Examples: - Arborist, - Arboriculture "
"50";1;1.09;"No substantive changes";"no";"Animal Sciences.";"Instructional content for this group of programs is defined in codes 01.0901 - 01.0999.";"";"Examples: - Arborist, - Arboriculture "
"51";1;1.0901;"No substantive changes";"no";"Animal Sciences, General.";"A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing.";"26.0701 - Zoology/Animal Biology.";"Examples: - Arborist, - Arboriculture "
"52";1;1.0902;"No substantive changes";"no";"Agricultural Animal Breeding.";"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology.";"26.0804 - Animal Genetics.";"Examples: - Arborist, - Arboriculture "
"53";1;1.0903;"No substantive changes";"no";"Animal Health.";"A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures.";"";"Examples: - Arborist, - Arboriculture "
"54";1;1.0904;"No substantive changes";"no";"Animal Nutrition.";"A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science.";"";"Examples: - Arborist, - Arboriculture "
"55";1;1.0905;"No substantive changes";"no";"Dairy Science.";"A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.";"";"Examples: - Arborist, - Arboriculture "
"56";1;1.0906;"No substantive changes";"no";"Livestock Management.";"A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.";"";"Examples: - Livestock Management, - Meat Science "
"57";1;1.0907;"No substantive changes";"no";"Poultry Science.";"A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety.";"";"Examples: - Livestock Management, - Meat Science "
"58";1;1.0999;"No substantive changes";"no";"Animal Sciences, Other.";"Any instructional program in the animal sciences not listed above.";"";"Examples: - Livestock Management, - Meat Science "
"59";1;1.1;"No substantive changes";"no";"Food Science and Technology.";"Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.";"";"Examples: - Livestock Management, - Meat Science "
"60";1;1.1001;"No substantive changes";"no";"Food Science.";"A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology.";"12.0509 - Culinary Science/Culinology., 19.0501 - Foods, Nutrition, and Wellness Studies, General.";"Examples: - Food Safety "
"61";1;1.1002;"No substantive changes";"no";"Food Technology and Processing.";"A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance.";"";"Examples: - Food Safety "
"62";1;1.1099;"No substantive changes";"no";"Food Science and Technology, Other.";"Any instructional program in food sciences and technology not listed above.";"";"Examples: - Food Safety "
"63";1;1.11;"No substantive changes";"no";"Plant Sciences.";"Instructional content for this group of programs is defined in codes 01.1101 - 01.1199.";"";"Examples: - Food Safety "
"64";1;1.1101;"No substantive changes";"no";"Plant Sciences, General.";"A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing.";"26.0301 - Botany/Plant Biology., 26.0305 - Plant Pathology/Phytopathology., 26.0307 - Plant Physiology., 26.0308 - Plant Molecular Biology.";"Examples: - Food Safety "
"65";1;1.1102;"No substantive changes";"no";"Agronomy and Crop Science.";"A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity.";"";"Examples: - Food Safety "
"66";1;1.1103;"No substantive changes";"no";"Horticultural Science.";"A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle.";"";"Examples: - Food Safety "
"67";1;1.1104;"No substantive changes";"no";"Agricultural and Horticultural Plant Breeding.";"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology.";"26.0805 - Plant Genetics.";"Examples: - Food Safety "
"68";1;1.1105;"No substantive changes";"yes";"Plant Protection and Integrated Pest Management.";"A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology.";"26.0702 - Entomology.";"Examples: - Pest Management, - Extermination "
"69";1;1.1106;"No substantive changes";"no";"Range Science and Management.";"A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology.";"";"Examples: - Pest Management, - Extermination "
"70";1;1.1199;"No substantive changes";"no";"Plant Sciences, Other.";"Any instructional program in plant sciences not listed above.";"";"Examples: - Pest Management, - Extermination "
"71";1;1.12;"No substantive changes";"no";"Soil Sciences.";"Instructional content for this group of programs is defined in codes 01.1201 - 01.1299.";"";"Examples: - Pest Management, - Extermination "
"72";1;1.1201;"No substantive changes";"no";"Soil Science and Agronomy, General.";"A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management.";"";"Examples: - Pest Management, - Extermination "
"73";1;1.1202;"No substantive changes";"no";"Soil Chemistry and Physics.";"A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry.";"";"Examples: - Pest Management, - Extermination "
"74";1;1.1203;"No substantive changes";"no";"Soil Microbiology.";"A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science.";"";"Examples: - Pest Management, - Extermination "
"75";1;1.1299;"No substantive changes";"no";"Soil Sciences, Other.";"Any instructional program in the soil sciences not listed above.";"";"Examples: - Environmental Soil Science "
"76";1;1.99;"No substantive changes";"no";"Agriculture, Agriculture Operations, and Related Sciences, Other.";"Instructional content is defined in code 01.9999.";"";"Examples: - Environmental Soil Science "
"77";1;1.9999;"No substantive changes";"no";"Agriculture, Agriculture Operations, and Related Sciences, Other.";"Any instructional program in agriculture, agricultural operations, and related sciences not listed above.";"";"Examples: - Environmental Soil Science "
"78";3;3;"No substantive changes";"no";"NATURAL RESOURCES AND CONSERVATION.";"Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.";"";"Examples: - Environmental Soil Science "
"79";3;3.01;"No substantive changes";"no";"Natural Resources Conservation and Research.";"Instructional content for this group of programs is defined in codes 03.0101 - 03.0199.";"";"Examples: - Environmental Soil Science "
"80";3;3.0101;"No substantive changes";"no";"Natural Resources/Conservation, General.";"A general program that focuses on the studies and activities relating to the natural environment and its conservation, use, and improvement.  Includes instruction in subjects such as climate, air, soil, water, land, fish and wildlife, and plant resources; in the basic principles of environmental science and natural resources management; and the recreational and economic uses of renewable and nonrenewable natural resources.";"26.1307 - Conservation Biology.";"Examples: - Environmental Soil Science "
"81";3;3.0103;"No substantive changes";"no";"Environmental Studies.";"A program that focuses on  environment-related issues using scientific, social scientific, or humanistic approaches or a combination.  Includes instruction in the basic principles of ecology and environmental science and related subjects such as policy, politics, law, economics, social aspects, planning, pollution control, natural resources, and the interactions of human beings and nature.";"14.1401 - Environmental/Environmental Health Engineering.";"Examples: - Ecosystem Studies "
"82";3;3.0104;"No substantive changes";"no";"Environmental Science.";"A program that focuses on the application of biological, chemical, and physical principles to the study of the physical environment and the solution of environmental problems, including subjects such as abating or controlling environmental pollution and degradation; the interaction between human society and the natural environment; and natural resources management.  Includes instruction in biology, chemistry, physics, geosciences, climatology, statistics, and mathematical modeling.";"14.1401 - Environmental/Environmental Health Engineering., 26.1305 - Environmental Biology., 26.1307 - Conservation Biology.";"Examples: - Bioenvironmental Sciences "
"83";3;3.0199;"No substantive changes";"no";"Natural Resources Conservation and Research, Other.";"Any instructional program in natural resources conservation and research not listed above.";"";"Examples: - Environmental Conservation and Reclamation "
"84";3;3.02;"No substantive changes";"no";"Natural Resources Management and Policy.";"Instructional content for this group of programs is defined in codes 03.0201 - 03.0299.";"";"Examples: - Environmental Conservation and Reclamation "
"85";3;3.0201;"No substantive changes";"no";"Natural Resources Management and Policy.";"A program that prepares individuals to plan, develop, manage, and evaluate programs to protect and regulate natural habitats and renewable natural resources.  Includes instruction in the principles of wildlife and conservation biology, environmental science, animal population surveying, natural resource economics, management techniques for various habitats, applicable law and policy, administrative and communications skills, and public relations.";"";"Examples: - Ecosystem Management "
"86";3;3.0204;"No substantive changes";"no";"Natural Resource Economics.";"A program that focuses on the application of economic concepts and methods to the analysis of issues such as air and water pollution, land use planning, waste disposal, invasive species and pest control, conservation policies, and related environmental problems.  Includes instruction in cost-benefit analysis, environmental impact assessment, evaluation and assessment of alternative resource management strategies, policy evaluation and monitoring, and descriptive and analytic tools for studying how environmental developments affect the economic system.";"01.0103 - Agricultural Economics.";"Examples: - Ecosystem Management "
"87";3;3.0205;"No substantive changes";"no";"Water, Wetlands, and Marine Resources Management.";"A program that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments.  Includes instruction in subjects such as wetlands, riverine, lacustrian, coastal, and oceanic water resources; water conservation and use; flood control; pollution control; water supply logistics; wastewater management; aquatic and marine ecology; aquatic and marine life conservation; and the economic and recreational uses of water resources.";"14.0805 - Water Resources Engineering., 26.1304 - Aquatic Biology/Limnology., 40.0605 - Hydrology and Water Resources Science.";"Examples: - Ecosystem Management "
"88";3;3.0206;"No substantive changes";"no";"Land Use Planning and Management/Development.";"A program that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit.  Includes instruction in natural resources management, natural resource economics, public policy, regional and land use planning, environmental impact assessment, applicable law and regulations, government and politics, principles of business and real estate land use, statistical and analytical tools, computer applications, mapping and report preparation, site analysis, cost analysis, and communications skills.";"04.0601 - Landscape Architecture., 31.0301 - Parks, Recreation and Leisure Facilities Management, General.";"Examples: - Ecosystem Management "
"89";3;3.0207;"New";"no";"Natural Resource Recreation and Tourism.";"A program that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmental studies; natural resource management and interpretation; tourism planning, management, and policies; public land use management and policies; communications; marketing; and public relations.";"31.0301 - Parks, Recreation and Leisure Facilities Management, General.";"Examples: - Ecotourism, - Resource Recreation and Tourism, - Nature-Based Tourism, - Natural Resources Interpretation, - Hunting and Fishing Guide "
"90";3;3.0208;"New";"no";"Natural Resources Law Enforcement and Protective Services.";"A program that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and emergency and rescue procedures. Includes instruction in natural and physical sciences, natural resource management, outdoor field skills, firearms and outdoor equipment and vehicle operation, evidence collection and environmental sampling and monitoring, natural resource legislation, environmental compliance techniques, patrol procedures, investigation and report writing, interpersonal skills and crisis intervention, community liaison, public safety, public education, and public relations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 03.0203.";"";"Examples: - Conservation Enforcement "
